cod poblacion,poblacion,cod provincia,provincia
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
28,Labastida/Bastida,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
17,Campezo/Kanpezu,1,Araba/Álava
17,Campezo/Kanpezu,1,Araba/Álava
56,Harana/Valle de Arana,1,Araba/Álava
16,Bernedo,1,Araba/Álava
30,Lagrán,1,Araba/Álava
109,Condado de Treviño,9,Burgos
37,Arraia-Maeztu,1,Araba/Álava
16,Bernedo,1,Araba/Álava
37,Arraia-Maeztu,1,Araba/Álava
17,Campezo/Kanpezu,1,Araba/Álava
37,Arraia-Maeztu,1,Araba/Álava
63,Zuia,1,Araba/Álava
18,Zigoitia,1,Araba/Álava
63,Zuia,1,Araba/Álava
3,Aramaio,1,Araba/Álava
3,Aramaio,1,Araba/Álava
3,Aramaio,1,Araba/Álava
58,Legutio,1,Araba/Álava
58,Legutio,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
901,Iruña Oka/Iruña de Oca,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
21,Elburgo/Burgelu,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
1,Alegría-Dulantzi,1,Araba/Álava
21,Elburgo/Burgelu,1,Araba/Álava
27,Iruraiz-Gauna,1,Araba/Álava
16,Bernedo,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
901,Iruña Oka/Iruña de Oca,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
59,Vitoria-Gasteiz,1,Araba/Álava
18,Zigoitia,1,Araba/Álava
51,Agurain/Salvatierra,1,Araba/Álava
27,Iruraiz-Gauna,1,Araba/Álava
13,Barrundia,1,Araba/Álava
53,San Millán/Donemiliaga,1,Araba/Álava
51,Agurain/Salvatierra,1,Araba/Álava
27,Iruraiz-Gauna,1,Araba/Álava
9,Asparrena,1,Araba/Álava
13,Barrundia,1,Araba/Álava
61,Zalduondo,1,Araba/Álava
53,San Millán/Donemiliaga,1,Araba/Álava
109,Condado de Treviño,9,Burgos
6,Armiñón,1,Araba/Álava
14,Berantevilla,1,Araba/Álava
44,Peñacerrada-Urizaharra,1,Araba/Álava
30,Lagrán,1,Araba/Álava
14,Berantevilla,1,Araba/Álava
44,Peñacerrada-Urizaharra,1,Araba/Álava
28,Labastida/Bastida,1,Araba/Álava
62,Zambrana,1,Araba/Álava
47,Ribera Baja/Erribera Beitia,1,Araba/Álava
46,Erriberagoitia/Ribera Alta,1,Araba/Álava
902,Lantarón,1,Araba/Álava
16,Bernedo,1,Araba/Álava
44,Peñacerrada-Urizaharra,1,Araba/Álava
47,Ribera Baja/Erribera Beitia,1,Araba/Álava
14,Berantevilla,1,Araba/Álava
6,Armiñón,1,Araba/Álava
46,Erriberagoitia/Ribera Alta,1,Araba/Álava
901,Iruña Oka/Iruña de Oca,1,Araba/Álava
9,Asparrena,1,Araba/Álava
9,Asparrena,1,Araba/Álava
31,Laguardia,1,Araba/Álava
33,Lapuebla de Labarca,1,Araba/Álava
57,Villabuena de Álava/Eskuernaga,1,Araba/Álava
11,Baños de Ebro/Mañueta,1,Araba/Álava
52,Samaniego,1,Araba/Álava
32,Lanciego/Lantziego,1,Araba/Álava
19,Kripan,1,Araba/Álava
31,Laguardia,1,Araba/Álava
41,Navaridas,1,Araba/Álava
23,Elvillar/Bilar,1,Araba/Álava
34,Leza,1,Araba/Álava
31,Laguardia,1,Araba/Álava
43,Oyón-Oion,1,Araba/Álava
31,Laguardia,1,Araba/Álava
43,Oyón-Oion,1,Araba/Álava
39,Moreda de Álava/Moreda Araba,1,Araba/Álava
60,Yécora/Iekora,1,Araba/Álava
28,Labastida/Bastida,1,Araba/Álava
22,Elciego,1,Araba/Álava
36,Laudio/Llodio,1,Araba/Álava
10,Ayala/Aiara,1,Araba/Álava
42,Okondo,1,Araba/Álava
46,Erriberagoitia/Ribera Alta,1,Araba/Álava
49,Añana,1,Araba/Álava
46,Erriberagoitia/Ribera Alta,1,Araba/Álava
55,Valdegovía/Gaubea,1,Araba/Álava
